Long,Lat,,,
151.032071,-33.693564,"{ lat: -33.693564, lng: 151.032071},","151.032071 -33.693564,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.032071, -33.693564, geography::STPointFromText('POINT(151.032071 -33.693564)', 4326));"
151.032394,-33.692318,"{ lat: -33.692318, lng: 151.032394},","151.032394 -33.692318,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.032394, -33.692318, geography::STPointFromText('POINT(151.032394 -33.692318)', 4326));"
151.032076,-33.691567,"{ lat: -33.691567, lng: 151.032076},","151.032076 -33.691567,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.032076, -33.691567, geography::STPointFromText('POINT(151.032076 -33.691567)', 4326));"
151.030974,-33.690122,"{ lat: -33.690122, lng: 151.030974},","151.030974 -33.690122,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.030974, -33.690122, geography::STPointFromText('POINT(151.030974 -33.690122)', 4326));"
151.029769,-33.688977,"{ lat: -33.688977, lng: 151.029769},","151.029769 -33.688977,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.029769, -33.688977, geography::STPointFromText('POINT(151.029769 -33.688977)', 4326));"
151.028038,-33.687843,"{ lat: -33.687843, lng: 151.028038},","151.028038 -33.687843,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.028038, -33.687843, geography::STPointFromText('POINT(151.028038 -33.687843)', 4326));"
151.027582,-33.687268,"{ lat: -33.687268, lng: 151.027582},","151.027582 -33.687268,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.027582, -33.687268, geography::STPointFromText('POINT(151.027582 -33.687268)', 4326));"
151.027494,-33.685824,"{ lat: -33.685824, lng: 151.027494},","151.027494 -33.685824,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.027494, -33.685824, geography::STPointFromText('POINT(151.027494 -33.685824)', 4326));"
151.027642,-33.684408,"{ lat: -33.684408, lng: 151.027642},","151.027642 -33.684408,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.027642, -33.684408, geography::STPointFromText('POINT(151.027642 -33.684408)', 4326));"
151.028442,-33.681874,"{ lat: -33.681874, lng: 151.028442},","151.028442 -33.681874,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.028442, -33.681874, geography::STPointFromText('POINT(151.028442 -33.681874)', 4326));"
151.028358,-33.679867,"{ lat: -33.679867, lng: 151.028358},","151.028358 -33.679867,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.028358, -33.679867, geography::STPointFromText('POINT(151.028358 -33.679867)', 4326));"
151.028079,-33.679243,"{ lat: -33.679243, lng: 151.028079},","151.028079 -33.679243,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.028079, -33.679243, geography::STPointFromText('POINT(151.028079 -33.679243)', 4326));"
151.027046,-33.677921,"{ lat: -33.677921, lng: 151.027046},","151.027046 -33.677921,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.027046, -33.677921, geography::STPointFromText('POINT(151.027046 -33.677921)', 4326));"
151.026698,-33.677254,"{ lat: -33.677254, lng: 151.026698},","151.026698 -33.677254,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.026698, -33.677254, geography::STPointFromText('POINT(151.026698 -33.677254)', 4326));"
151.025317,-33.672196,"{ lat: -33.672196, lng: 151.025317},","151.025317 -33.672196,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.025317, -33.672196, geography::STPointFromText('POINT(151.025317 -33.672196)', 4326));"
151.02535,-33.671057,"{ lat: -33.671057, lng: 151.02535},","151.02535 -33.671057,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.02535, -33.671057, geography::STPointFromText('POINT(151.02535 -33.671057)', 4326));"
151.025788,-33.669309,"{ lat: -33.669309, lng: 151.025788},","151.025788 -33.669309,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.025788, -33.669309, geography::STPointFromText('POINT(151.025788 -33.669309)', 4326));"
151.025505,-33.667338,"{ lat: -33.667338, lng: 151.025505},","151.025505 -33.667338,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.025505, -33.667338, geography::STPointFromText('POINT(151.025505 -33.667338)', 4326));"
151.025527,-33.666579,"{ lat: -33.666579, lng: 151.025527},","151.025527 -33.666579,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.025527, -33.666579, geography::STPointFromText('POINT(151.025527 -33.666579)', 4326));"
151.026184,-33.664469,"{ lat: -33.664469, lng: 151.026184},","151.026184 -33.664469,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.026184, -33.664469, geography::STPointFromText('POINT(151.026184 -33.664469)', 4326));"
151.026214,-33.663894,"{ lat: -33.663894, lng: 151.026214},","151.026214 -33.663894,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.026214, -33.663894, geography::STPointFromText('POINT(151.026214 -33.663894)', 4326));"
151.025447,-33.662548,"{ lat: -33.662548, lng: 151.025447},","151.025447 -33.662548,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.025447, -33.662548, geography::STPointFromText('POINT(151.025447 -33.662548)', 4326));"
151.02343,-33.660095,"{ lat: -33.660095, lng: 151.02343},","151.02343 -33.660095,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.02343, -33.660095, geography::STPointFromText('POINT(151.02343 -33.660095)', 4326));"
151.022103,-33.657384,"{ lat: -33.657384, lng: 151.022103},","151.022103 -33.657384,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.022103, -33.657384, geography::STPointFromText('POINT(151.022103 -33.657384)', 4326));"
151.020735,-33.655169,"{ lat: -33.655169, lng: 151.020735},","151.020735 -33.655169,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.020735, -33.655169, geography::STPointFromText('POINT(151.020735 -33.655169)', 4326));"
