Long,Lat,,,
150.985442,-33.386311,0,,"{ lng: 150.985442, lat: -33.386311 },"
150.985453,-33.386043,0,,"{ lng: 150.985453, lat: -33.386043 },"
150.985787,-33.385646,0,,"{ lng: 150.985787, lat: -33.385646 },"
150.988773,-33.3826,0,,"{ lng: 150.988773, lat: -33.3826 },"
150.988912,-33.381967,0,,"{ lng: 150.988912, lat: -33.381967 },"
150.987988,-33.380196,0,,"{ lng: 150.987988, lat: -33.380196 },"
150.988783,-33.379528,0,,"{ lng: 150.988783, lat: -33.379528 },"
150.986975,-33.37806,0,,"{ lng: 150.986975, lat: -33.37806 },"
150.983831,-33.378535,0,,"{ lng: 150.983831, lat: -33.378535 },"
150.981576,-33.383515,0,,"{ lng: 150.981576, lat: -33.383515 },"
150.979737,-33.39472,0,,"{ lng: 150.979737, lat: -33.39472 },"
150.976652,-33.400233,0,,"{ lng: 150.976652, lat: -33.400233 },"
150.972381,-33.40302,0,,"{ lng: 150.972381, lat: -33.40302 },"
150.968643,-33.406814,0,,"{ lng: 150.968643, lat: -33.406814 },"
150.964312,-33.410075,0,,"{ lng: 150.964312, lat: -33.410075 },"
150.96106,-33.412259,0,,"{ lng: 150.96106, lat: -33.412259 },"
150.958148,-33.412841,0,,"{ lng: 150.958148, lat: -33.412841 },"
150.954903,-33.412758,0,,"{ lng: 150.954903, lat: -33.412758 },"
150.951742,-33.413756,0,,"{ lng: 150.951742, lat: -33.413756 },"
150.951077,-33.416832,0,,"{ lng: 150.951077, lat: -33.416832 },"
150.952242,-33.41916,0,,"{ lng: 150.952242, lat: -33.41916 },"
150.953407,-33.422153,0,,"{ lng: 150.953407, lat: -33.422153 },"
150.953407,-33.425229,0,,"{ lng: 150.953407, lat: -33.425229 },"
150.951577,-33.427474,0,,"{ lng: 150.951577, lat: -33.427474 },"
150.949247,-33.428139,0,,"{ lng: 150.949247, lat: -33.428139 },"
150.946502,-33.426975,0,,"{ lng: 150.946502, lat: -33.426975 },"
150.943673,-33.424896,0,,"{ lng: 150.943673, lat: -33.424896 },"
150.941843,-33.421571,0,,"{ lng: 150.941843, lat: -33.421571 },"
150.94151,-33.416583,0,,"{ lng: 150.94151, lat: -33.416583 },"
150.939846,-33.413923,0,,"{ lng: 150.939846, lat: -33.413923 },"
150.937184,-33.414172,0,,"{ lng: 150.937184, lat: -33.414172 },"
150.934273,-33.4165,0,,"{ lng: 150.934273, lat: -33.4165 },"
150.932442,-33.420407,0,,"{ lng: 150.932442, lat: -33.420407 },"
150.931278,-33.428471,0,,"{ lng: 150.931278, lat: -33.428471 },"
150.929947,-33.430799,0,,"{ lng: 150.929947, lat: -33.430799 },"
150.927701,-33.431963,0,,"{ lng: 150.927701, lat: -33.431963 },"
150.924955,-33.432462,0,,"{ lng: 150.924955, lat: -33.432462 },"
150.923291,-33.431714,0,,"{ lng: 150.923291, lat: -33.431714 },"
150.921544,-33.429136,0,,"{ lng: 150.921544, lat: -33.429136 },"
150.921461,-33.42606,0,,"{ lng: 150.921461, lat: -33.42606 },"
150.922875,-33.422818,0,,"{ lng: 150.922875, lat: -33.422818 },"
150.924622,-33.42049,0,,"{ lng: 150.924622, lat: -33.42049 },"
150.924539,-33.418329,0,,"{ lng: 150.924539, lat: -33.418329 },"
150.92221,-33.417664,0,,"{ lng: 150.92221, lat: -33.417664 },"
150.911228,-33.418578,0,,"{ lng: 150.911228, lat: -33.418578 },"
150.903575,-33.419493,0,,"{ lng: 150.903575, lat: -33.419493 },"
150.898001,-33.423151,0,,"{ lng: 150.898001, lat: -33.423151 },"
150.893758,-33.427224,0,,"{ lng: 150.893758, lat: -33.427224 },"
150.893342,-33.4303,0,,"{ lng: 150.893342, lat: -33.4303 },"
150.895755,-33.432462,0,,"{ lng: 150.895755, lat: -33.432462 },"
